,Name,Duration,Wind speed,Pressure,Areas affected,Deaths,Damage,REf,Category
195,Two,"September 1 – 9, 1923",105 mph (165 km/h),989 hPa (29.21 inHg),None,0,None,[2][77],2
196,Four,"August 26 – September 3, 1924",110 mph (175 km/h),965 hPa (28.50 inHg),"Guadeloupe, Montserrat, Anguilla, Saint Thomas, Leeward Islands",89,Heavy,[2][152][153][154],2
197,Five,"September 10 – 14, 1926",105 mph (165 km/h),1000 hPa (29.53 inHg),None,0,None,[2][155],2
198,Eight,"September 21 – October 1, 1926",105 mph (165 km/h),978 hPa (28.88 inHg),Azores,0,Minor,[2][155],2
199,Four,"September 23 – 28, 1927",110 mph (175 km/h),967 hPa (28.56 inHg),None,0,None,[2][77],2
200,One,"August 3 – 10, 1928",105 mph (165 km/h),971 hPa (28.67 inHg),"Bahamas, Florida, Georgia, South Carolina",2,$235 thousand,[2][77][156][157],2
201,Seven,"September 8 – 16, 1931",100 mph (155 km/h),987 hPa (29.15 inHg),"Puerto Rico, Dominican Republic, Haiti, Jamaica, Belize, Yucatán Peninsula, Veracruz",2,Moderate,[2][77][158][159],2
202,Fifteen,"November 3 – 10, 1932",100 mph (155 km/h),973 hPa (28.73 inHg),Azores,0,Unknown,[2][160],2
203,Two,"June 24 – July 8, 1933",110 mph (175 km/h),965 hPa (28.50 inHg),"Trinidad, Venezuela, Jamaica, Cayman Islands, Cuba, Tamaulipas",35,$7.5 million,[2][161][162],2
204,Thirteen,"September 10 – 15, 1933",110 mph (175 km/h),960 hPa (28.35 inHg),"Guatemala, Belize, Quintana Roo, Yucatán Peninsula, Tampico",67,Millions,[2][163][164],2
205,One,"June 4 – 18, 1934",100 mph (155 km/h),966 hPa (28.53 inHg),"Belize, Guatemala, Chiapas, Yucatán Peninsula, Louisiana, Mississippi, Tennessee",">1,000",$4.4 million,.[2][165][166][167],2
206,Seven,"September 3 – 7, 1934",105 mph (165 km/h),967 hPa (28.56 inHg),United States East Coast,8,$10 thousand,[2][165][168][169],2
207,Ten,"October 1 – 4, 1934",100 mph (155 km/h),984 hPa (29.06 inHg),None,0,None,[2][165],2
208,Seven,"October 30 – November 8, 1935",105 mph (165 km/h),964 hPa (28.47 inHg),"The Bahamas, Florida",19,$5.5 million,[2][170][171],2
209,Five,"July 27 – August 1, 1936",105 mph (165 km/h),964 hPa (28.47 inHg),"Bahamas, Florida, Alabama",4,$200 thousand,[2][172],2
210,Ten,"August 25 – September 5, 1936",110 mph (175 km/h),959 hPa (28.32 inHg),None,0,None,[2][173],2
211,Fifteen,"September 18 – 25, 1936",105 mph (165 km/h),977 hPa (28.85 inHg),Nova Scotia,0,None,[2][174],2
212,Four,"September 9 – 14, 1937",100 mph (155 km/h),992 hPa (29.29 inHg),"Nova Scotia, Canada",0,$1.5 million,[2][77][175],2
213,Eight,"September 20 – 26, 1937",100 mph (155 km/h),982 hPa (29.00 inHg),None,0,None,[2][77][176],2
214,Two,"August 3 – 10, 1940",100 mph (155 km/h),972 hPa (28.70 inHg),"Texas, Louisiana, Arkansas",7,$10.75 million,[2][177][178],2
215,Three,"August 5 – 14, 1940",100 mph (155 km/h),972 hPa (28.70 inHg),"South Carolina, Mid-Atlantic states",52,$13 million,[2][179][77][180],2
216,Four,"August 26 – September 2, 1940",110 mph (175 km/h),961 hPa (28.38 inHg),"North Carolina, New England, Nova Scotia, Quebec",7,$4.05 million,[2][77][181],2
217,Five,"September 7 – 17, 1940",100 mph (155 km/h),988 hPa (29.18 inHg),"Nova Scotia, Newfoundland",3,$1.49 million,[2][77][182],2
218,Seven,"September 22 – 28, 1940",100 mph (155 km/h),977 hPa (28.85 inHg),Azores,0,None,[2][183],2
219,Four,"August 25 – September 3, 1942",110 mph (175 km/h),Unknown,None,0,None,[2][77],2
220,Eleven,"November 5 – 11, 1942",110 mph (175 km/h),992 hPa (29.29 inHg),"Cuba, Belize, Mexico",9,$9 million,[2][77][184],2
221,One,"July 25 – 30, 1943",105 mph (165 km/h),967 hPa (28.56 inHg),"Texas, Louisiana",19,$17 million,[2][185][186][187],2
222,Six,"September 15 – 20, 1943",100 mph (155 km/h),Unknown,United States Gulf Coast,0,$419 thousand,[2][186],2
223,Nine,"October 11 – 17, 1943",110 mph (175 km/h),Unknown,"Leeward Islands, Puerto Rico, Bermuda",0,$300 thousand,[2][186][77][188],2
224,Nine,"September 21 – 26, 1944",100 mph (155 km/h),Unknown,None,0,None,[2][77],2
225,One,"June 20 – 27, 1945",100 mph (155 km/h),985 hPa (29.09 inHg),United States East Coast,1,$750 thousand,[2][189][190][191],2
226,Eleven,"October 10 – 13, 1945",100 mph (155 km/h),982 hPa (29.00 inHg),"Greater Antilles, Bahamas",5,$2 million,[2][192][77],2
227,Four,"September 12 – 15, 1946",100 mph (155 km/h),975 hPa (28.79 inHg),"Bahamas, Nova Scotia, Newfoundland",0,None,[2][77][193],2
228,Six,"October 5 – 9, 1946",100 mph (155 km/h),977 hPa (28.85 inHg),"Cuba, Florida, Georgia, South Carolina",5,$5.2 million,[2][77][194][195],2
229,Charlie,"August 9 – 16, 1947",110 mph (175 km/h),977 hPa (28.85 inHg),"Quintana Roo, Tamaulipas",48,Unknown,[2][196][197],2
230,King,"October 8 – 16, 1947",105 mph (165 km/h),965 hPa (28.50 inHg),"Honduras, Florida, Alabama",1,$3.26 million,[2][198][199],2
231,One,"August 21 – 25, 1949",110 mph (175 km/h),974 hPa (28.76 inHg),North Carolina,2,$50 thousand,[2][200][201],2
232,Eleven,"September 27 – October 6, 1949",110 mph (175 km/h),965 hPa (28.50 inHg),"Guatemala, Campeche, Texas",2,$6.7 million,[2][78][202],2
233,Baker,"August 18 – September 1, 1950",105 mph (165 km/h),978 hPa (28.88 inHg),"Leeward Islands, Puerto Rico, Hispaniola, Cuba, United States Gulf Coast",38,$2.5 million,[2][203][204],2
234,Charlie,"August 21 – September 5, 1950",110 mph (175 km/h),974 hPa (28.76 inHg),None,0,None,[2][204],2
235,George,"September 27 – October 5, 1950",110 mph (175 km/h),960 hPa (28.35 inHg),Iceland,0,None,[2][204][205][206],2
236,Item,"October 8 – 11, 1950",105 mph (165 km/h),976 hPa (28.82 inHg),"Yucatán Peninsula, Western Mexico",0,$1.5 million,[2][204][207][208],2
237,How,"September 29 – October 5, 1951",100 mph (155 km/h),972 hPa (28.70 inHg),"Florida, Iceland",17,$2 million,[2][209][210],2
238,Able,"August 18 – September 3, 1952",100 mph (155 km/h),980 hPa (28.94 inHg),"South Carolina, North Carolina, Virginia, Maryland",3,$21.7 million,[2][211][212],2
239,Baker,"August 31 – September 8, 1952",110 mph (175 km/h),969 hPa (28.61 inHg),None,0,None,[2][211][213],2
240,Easy,"October 6 – 11, 1952",105 mph (165 km/h),968 hPa (28.59 inHg),None,0,None,[2][211],2
241,Alice,"June 24 – 27, 1954",110 mph (175 km/h),975 hPa (28.79 inHg),Mexico,56,$2 million,[2][214][215],2
242,Thirteen,"September 25 – October 6, 1954",100 mph (155 km/h),964 hPa (28.47 inHg),None,0,None,[2][216],2
243,Diane,"August 7 – 20, 1955",105 mph (165 km/h),969 hPa (28.61 inHg),"North Carolina, Pennsylvania, New York, New Jersey, New England",184,$754.7 million,[2][217][218],2
244,Edith,"August 21 – 31, 1955",105 mph (165 km/h),967 hPa (28.56 inHg),None,0,None,[2][219][220],2
245,Flora,"September 2 – 9, 1955",105 mph (165 km/h),967 hPa (28.56 inHg),None,0,None,[221],2
246,Katie,"October 14 – 19, 1955",110 mph (175 km/h),984 hPa (29.06 inHg),"Central America, Dominican Republic, Hispaniola, Puerto Rico, Cuba, Bahamas, Dominica",7,$200 thousand,[2][222][223],2
247,Greta,"October 31 – November 6, 1956",100 mph (155 km/h),970 hPa (28.64 inHg),"Cuba, Bahamas, Florida, Guadeloupe",1,$3.58 million,[2][224],2
248,Ella,"August 30 – September 6, 1958",110 mph (175 km/h),983 hPa (29.03 inHg),"Haiti, Dominican Republic, Cuba, Louisiana, Texas",37,>$100 thousand,[2][225][226],2
249,Ilsa,"September 24 – 30, 1958",110 mph (175 km/h),956 hPa (28.23 inHg),Bermuda,0,None,[2][225][227][228],2
250,Janice,"October 4 – 11, 1958",100 mph (155 km/h),968 hPa (28.59 inHg),"Jamaica, Cuba, Bahamas",9,$200 thousand,[2][225][229],2
251,Anna,"July 20 – 24, 1961",105 mph (165 km/h),976 hPa (28.82 inHg),"Windward Islands, Colombia, Venezuela, Central America, Jamaica",1,$300 thousand,[2][230][231][232],2
252,Daisy,"September 29 – October 7, 1962",105 mph (165 km/h),963 hPa (28.44 inHg),"Leeward Islands, Bermuda, New England, Atlantic Canada",32,$1.1 million,[2][233][234],2
253,Ella,"October 14 – 22, 1962",110 mph (175 km/h),958 hPa (28.29 inHg),"Cuba, United States East Coast, Atlantic Canada",2,Unknown,[2][235][236][237],2
254,Edith,"September 23 – 29, 1963",100 mph (155 km/h),990 hPa (29.23 inHg),"Lesser Antilles, Puerto Rico, Hispaniola, Turks and Caicos Islands, Bahamas",10,$46.6 million,[2][238][239][240],2
255,Ginny,"October 17 – 29, 1963",110 mph (175 km/h),948 hPa (27.99 inHg),"Hispaniola, Turks and Caicos Islands, The Bahamas, United States East Coast, Nova Scotia, Newfoundland",5,$500 thousand,[2][241][242][243],2
256,Ethel,"September 4 – 14, 1964",105 mph (165 km/h),974 hPa (28.76 inHg),Bermuda,0,Minimal,[2][244][245],2
257,Anna,"August 21 – 25, 1965",105 mph (165 km/h),976 hPa (28.82 inHg),None,0,None,[2][246],2
258,Elena,"October 12 – 19, 1965",110 mph (175 km/h),977 hPa (28.85 inHg),None,0,None,[246],2
259,Chloe,"September 5 – 21, 1967",110 mph (175 km/h),958 hPa (28.29 inHg),"Cape Verde, Spain, France",14,Unknown,[2][247],2
260,Kara,"October 7 – 18, 1969",105 mph (165 km/h),978 hPa (28.88 inHg),North Carolina,0,None,[2][248],2
261,Laurie,"October 17 – 27, 1969",105 mph (165 km/h),973 hPa (28.73 inHg),Mexico,0,Minor,[2][248][249],2
262,Eighteen,"October 12 – 17, 1970",105 mph (165 km/h),974 hPa (28.76 inHg),"Bermuda, Nova Scotia, Newfoundland",0,Unknown,[2][250][251][252],2
